,design,predictor,sample_type,sample_size,train_size,folds,dim,lambd,mean_precision,mean_recall,mean_fscore,mean_auprc,mean_size_err,median_precision,median_recall,median_fscore,median_auprc,median_size_err
136,vga,DATE,solver,0.5,,10.0,,,0.823573473,0.763307761,0.777636267,0.788977404,0.235499517,0.864402943,0.740215924,0.7753520009999999,0.807960483,0.226495726
137,vga,random,solver,0.5,,10.0,,,0.5830423256247431,0.4800612465093559,0.44741609248016057,0.619319917161319,0.9537400941422884,0.4980376766091052,0.5168624478969307,0.455330756990225,0.5999395689431298,0.5784936479128857
138,vga,suspect2vec,solver,0.5,,10.0,20.0,0.0,0.841606638,0.828146915,0.816626526,0.8233002690000001,0.276001497,0.898326898,0.8501847140000001,0.8248081840000001,0.878941393,0.191425121
139,wb_dma,DATE,solver,0.5,,10.0,,,0.8251555309999999,0.734174876,0.768734485,0.73862682,0.18724174,0.846153846,0.718286656,0.7894736840000001,0.782095195,0.168067227
140,wb_dma,random,solver,0.5,,10.0,,,0.5436840429944072,0.4919279708794304,0.4292755695922557,0.6414450798141441,1.4004731588930257,0.5276381909547738,0.5263157894736842,0.4522144522144522,0.6249901761143599,0.6803953871499177
141,wb_dma,suspect2vec,solver,0.5,,10.0,20.0,0.0,0.774746464,0.81784587,0.7715388240000001,0.7760735940000001,0.622518063,0.8409090909999999,0.7777777779999999,0.80952381,0.7938005909999999,0.113636364
142,ethernet,DATE,solver,0.5,,1000000000000.0,,,0.8372271309999999,0.863071065,0.830166167,0.921060419,0.284012922,0.9005255259999999,0.908658659,0.8553230209999999,0.986521871,0.18968254
143,ethernet,random,solver,0.5,,1000000000000.0,,,0.5435894808743168,0.4985084243333965,0.4424816353553559,0.6057337529895478,1.23744494775373,0.5333333333333333,0.521143537820131,0.4799999999999999,0.588764164615134,0.4760452961672474
144,ethernet,suspect2vec,solver,0.5,,1000000000000.0,20.0,0.0,0.931094642,0.924062835,0.917875337,0.939046979,0.285996954,0.982434515,0.981491979,0.959443583,0.996376166,0.037301587
145,ethernet,suspect2vec,solver,0.5,,1000000000000.0,20.0,0.1,0.869544333,0.792253708,0.808572795,0.845571655,0.294606509,0.970486111,0.792892157,0.835367052,0.928321861,0.192909357
146,ethernet,suspect2vec,solver,0.5,,1000000000000.0,20.0,,0.931094642,0.908437835,0.908006916,0.937707694,0.301621954,0.982434515,0.976693767,0.957824902,0.995514975,0.04109589
147,ethernet,suspect2vec,solver,0.5,,1000000000000.0,50.0,,0.933336175,0.908981524,0.909290612,0.939601973,0.303253275,0.983395342,0.981037984,0.957824902,0.994580267,0.042592593
148,fdct,DATE,solver,0.5,,1000000000000.0,,,0.8658403202612363,0.8663852125286414,0.8601169146066594,0.8790894150581802,0.13177854131482408,0.8941769316909294,0.8696875,0.8634506129771753,0.91111504728612,0.10575858250276854
149,fdct,random,solver,0.5,,1000000000000.0,,,0.5934787326388888,0.4905185699900077,0.4830270293824941,0.6089446797382928,0.6064779579737701,0.5355902777777778,0.52,0.5118750400102428,0.6083794108394098,0.4883720930232558
150,fdct,suspect2vec,solver,0.5,,1000000000000.0,20.0,0.0,0.9726149498923377,0.8659708012970678,0.9105215865921686,0.8970612083908196,0.13700378531239482,1.0,0.9345227475468332,0.9180083164516472,0.9614005602240896,0.07960304054054054
151,mips789,DATE,solver,0.5,,1000000000000.0,,,0.902769674,0.728089737,0.800821143,0.845201167,0.2157228,0.948186528,0.718592965,0.8165374679999999,0.880659781,0.209459459
152,mips789,random,solver,0.5,,1000000000000.0,,,0.5922670807475959,0.5208124770829758,0.5065389748192122,0.6540032623607074,0.7614108770180926,0.5351351351351351,0.5344827586206896,0.5307262569832402,0.6435242360125081,0.3843537414965986
153,mips789,suspect2vec,solver,0.5,,1000000000000.0,20.0,0.0,0.8871192720000001,0.798984967,0.826673825,0.884609691,0.273212769,0.939393939,0.794117647,0.848484848,0.921458895,0.149855908
154,mips789,suspect2vec,solver,0.5,,1000000000000.0,20.0,0.1,0.826694562,0.7088498329999999,0.747289587,0.784304792,0.315099527,0.901162791,0.712121212,0.788135593,0.827478147,0.220735786
