,experiment,runtime,finished,R,speedup
49,designs/fdct/buggy4/fail_0_multipass_v2,1196.82,1,3.69572043145,0.573728212307
50,designs/fdct/buggy5/fail_1,5553.05,1,2.40961282096,0.517308677628
51,designs/fdct/buggy5/fail_1_1pass,10734.5,0,1.0,1.0
52,designs/fdct/buggy5/fail_1_multipass_DATE,2656.15,1,4.94201474324,0.247440495598
53,designs/fdct/buggy5/fail_1_multipass_opt,4622.94,1,2.80932328632,0.430661884578
54,designs/fdct/buggy5/fail_1_multipass_v2,3763.96,1,4.07500591396,0.350641389911
55,designs/fdct/random_bug_12/fail_0,951.65,1,1.42369032294,0.937327633756
56,designs/fdct/random_bug_12/fail_0_1pass,1015.28,1,1.0,1.0
57,designs/fdct/random_bug_12/fail_0_multipass_DATE,863.51,1,1.97350414129,0.850514143881
58,designs/fdct/random_bug_12/fail_0_multipass_opt,739.81,1,2.45636267761,0.728675833268
59,designs/fdct/random_bug_12/fail_0_multipass_v2,446.33,1,2.09288132925,0.439612717674
60,designs/fdct/random_bug_16/fail_0,683.22,1,1.25584026525,0.731052783633
61,designs/fdct/random_bug_16/fail_0_1pass,934.57,1,1.0,1.0
62,designs/fdct/random_bug_16/fail_0_multipass_DATE,426.87,1,1.39634078642,0.456755513231
63,designs/fdct/random_bug_16/fail_0_multipass_opt,465.24,1,1.62022101529,0.497811827899
64,designs/fdct/random_bug_16/fail_0_multipass_v2,438.12,1,1.40654622155,0.468793134811
65,designs/fdct/random_bug_19/fail_0,918.31,1,2.17951455386,0.487713036874
66,designs/fdct/random_bug_19/fail_0_1pass,1882.89,1,1.0,1.0
67,designs/fdct/random_bug_19/fail_0_multipass_DATE,733.72,1,2.75704856922,0.389677570118
68,designs/fdct/random_bug_19/fail_0_multipass_opt,723.99,1,3.72996741621,0.384509981996
69,designs/fdct/random_bug_19/fail_0_multipass_v2,562.04,1,3.53479580042,0.298498584623
70,designs/fdct/random_bug_22/fail_0,640.68,1,2.22969733554,0.540813397937
71,designs/fdct/random_bug_22/fail_0_1pass,1184.66,1,1.0,1.0
72,designs/fdct/random_bug_22/fail_0_multipass_DATE,660.62,1,2.76557926254,0.557645231543
73,designs/fdct/random_bug_22/fail_0_multipass_opt,689.58,1,2.47554043401,0.582091064103
74,designs/fdct/random_bug_22/fail_0_multipass_v2,409.4,1,4.01554556103,0.345584387082
75,designs/fdct/random_bug_8/fail_0,410.55,1,1.17121177963,0.80762875241
76,designs/fdct/random_bug_8/fail_0_1pass,508.34,1,1.0,1.0
77,designs/fdct/random_bug_8/fail_0_multipass_DATE,360.77,1,1.25991072327,0.70970216784
78,designs/fdct/random_bug_8/fail_0_multipass_opt,375.32,1,1.33853546099,0.738324743282
79,designs/fdct/random_bug_8/fail_0_multipass_v2,402.98,1,1.16252767535,0.792737144431
80,designs/mips789/random_bug_0/fail_0,1965.04,1,0.947366453243,1.97124943572
81,designs/mips789/random_bug_0/fail_0_1pass,996.85,1,1.0,1.0
82,designs/mips789/random_bug_0/fail_0_multipass_DATE,716.85,1,1.46692057792,0.719115212921
83,designs/mips789/random_bug_0/fail_0_multipass_opt,958.51,1,1.66626893107,0.961538847369
84,designs/mips789/random_bug_0/fail_0_multipass_v2,1736.64,1,1.11079566723,1.74212770226
85,designs/mips789/random_bug_10/fail_0,2002.26,1,2.12123425542,1.71251892336
86,designs/mips789/random_bug_10/fail_0_1pass,1169.19,1,1.0,1.0
87,designs/mips789/random_bug_10/fail_0_multipass_DATE,739.17,1,1.43893476753,0.632206912478
88,designs/mips789/random_bug_10/fail_0_multipass_opt,1245.48,1,2.16176042305,1.06525030149
89,designs/mips789/random_bug_10/fail_0_multipass_v2,621.59,1,1.5944516059,0.531641563818
90,designs/mips789/random_bug_10/fail_2,3270.18,1,2.48303959335,1.38448446669
91,designs/mips789/random_bug_10/fail_2_1pass,2362.02,0,1.0,1.0
92,designs/mips789/random_bug_10/fail_2_multipass_DATE,2317.35,0,2.40254578033,0.981088221099
93,designs/mips789/random_bug_10/fail_2_multipass_opt,3609.35,1,2.91441461809,1.52807766234
94,designs/mips789/random_bug_10/fail_2_multipass_v2,3346.84,1,2.46940814713,1.41693973802
95,designs/mips789/random_bug_12/fail_1,890.53,1,1.0330885495,0.298985063001
96,designs/mips789/random_bug_12/fail_1_1pass,2978.51,0,1.0,1.0
97,designs/mips789/random_bug_12/fail_1_multipass_DATE,880.9,1,1.04437317815,0.295751902797
98,designs/mips789/random_bug_12/fail_1_multipass_opt,889.57,1,1.04430691945,0.298662754196
99,designs/mips789/random_bug_12/fail_1_multipass_v2,881.86,1,1.04324596923,0.296074211602
100,designs/mips789/random_bug_13/fail_1_multipass_opt,9822.31,0,1.4024626516,0.833721095058
101,designs/mips789/random_bug_13/fail_1_multipass_v2,7820.71,0,1.39406304507,0.663824589667
102,designs/mips789/random_bug_14/fail_0,680.37,1,1.78681955947,0.70413454075
103,designs/mips789/random_bug_14/fail_0_1pass,966.25,1,1.0,1.0
104,designs/mips789/random_bug_14/fail_0_multipass_DATE,1060.93,1,0.855373820609,1.09798706339
105,designs/mips789/random_bug_14/fail_0_multipass_opt,652.78,1,1.98455878654,0.675580853816
106,designs/mips789/random_bug_14/fail_0_multipass_v2,626.04,1,1.54089019729,0.647906856404
107,designs/mips789/random_bug_16/fail_2,3288.59,1,1.48661939242,0.409133434686
108,designs/mips789/random_bug_16/fail_2_1pass,8037.94,0,1.0,1.0
109,designs/mips789/random_bug_16/fail_2_multipass_DATE,3806.15,1,1.67485598929,0.473523066855
110,designs/mips789/random_bug_16/fail_2_multipass_opt,4366.65,1,1.33841302174,0.543254863808
111,designs/mips789/random_bug_16/fail_2_multipass_v2,4818.65,1,1.54686578082,0.599488177319
112,designs/mips789/random_bug_18/fail_2_multipass_opt,15728.76,0,1.34266519595,0.831121150874
113,designs/mips789/random_bug_18/fail_2_multipass_v2,6481.7,0,1.54507776401,0.342498579902
114,designs/mips789/random_bug_19/fail_2,735.15,1,1.12452331391,0.588713423131
115,designs/mips789/random_bug_19/fail_2_1pass,1248.74,1,1.0,1.0
116,designs/mips789/random_bug_19/fail_2_multipass_DATE,577.1,1,1.37447653466,0.46214584301
117,designs/mips789/random_bug_19/fail_2_multipass_opt,589.82,1,1.37650856618,0.472332110768
118,designs/mips789/random_bug_19/fail_2_multipass_v2,577.31,1,1.38972638983,0.462314012525
119,designs/mips789/random_bug_20/fail_2_multipass_opt,4349.9,1,1.06363035159,0.9106248286
120,designs/mips789/random_bug_20/fail_2_multipass_v2,3297.25,1,1.05204369834,0.69025902115
121,designs/mips789/random_bug_22/fail_1_multipass_opt,13697.48,0,2.29063874834,0.20168118204
122,designs/mips789/random_bug_22/fail_1_multipass_v2,2345.96,0,3.20401687234,0.0345418270965
123,designs/mips789/random_bug_23/fail_1,5910.41,1,0.97655470849,0.585131754412
124,designs/mips789/random_bug_23/fail_1_1pass,10100.99,0,1.0,1.0
125,designs/mips789/random_bug_23/fail_1_multipass_DATE,2990.59,0,1.39205211773,0.296068999177
126,designs/mips789/random_bug_23/fail_1_multipass_opt,3858.74,1,1.4568349722,0.382016020212
127,designs/mips789/random_bug_23/fail_1_multipass_v2,8145.81,1,1.02395635961,0.806436794809
128,designs/mips789/random_bug_25/fail_1_multipass_opt,12311.12,0,1.20751691061,0.843742889491
129,designs/mips789/random_bug_25/fail_1_multipass_v2,7251.58,0,2.14214136971,0.496987200399
130,designs/mips789/random_bug_4/fail_2_multipass_opt,8014.11,0,1.17223610256,1.01163094533
131,designs/mips789/random_bug_4/fail_2_multipass_v2,6738.42,0,1.11826949245,0.850599030292
132,designs/mips789/random_bug_5/fail_1,6006.65,1,1.40518109618,0.565602189094
133,designs/mips789/random_bug_5/fail_1_1pass,10619.92,0,1.0,1.0
134,designs/mips789/random_bug_5/fail_1_multipass_DATE,2518.16,1,1.79998727012,0.237116663779
135,designs/mips789/random_bug_5/fail_1_multipass_opt,2652.33,1,1.97505575377,0.24975046893
136,designs/mips789/random_bug_5/fail_1_multipass_v2,3732.06,1,1.73357849401,0.351420726333
137,designs/mips789/random_bug_5/fail_2,991.25,1,0.998653593561,0.502460981655
138,designs/mips789/random_bug_5/fail_2_1pass,1972.79,1,1.0,1.0
139,designs/mips789/random_bug_5/fail_2_multipass_DATE,879.26,1,1.02519890589,0.445693662275
140,designs/mips789/random_bug_5/fail_2_multipass_opt,1296.14,1,1.02376085515,0.657008602031
141,designs/mips789/random_bug_5/fail_2_multipass_v2,1302.15,1,1.01501880175,0.660055048941
142,designs/mips789/random_bug_7/fail_1_multipass_opt,8742.81,0,1.17125462754,0.934343396561
143,designs/mips789/random_bug_7/fail_1_multipass_v2,7422.48,1,1.53586096866,0.793239836404
144,designs/mips789/random_bug_8/fail_2_multipass_opt,5976.77,1,1.43505967771,0.572421204056
145,designs/mips789/random_bug_8/fail_2_multipass_v2,7077.78,0,1.24658426323,0.677869710503
146,designs/mips789/random_bug_9/fail_2,3777.19,1,3.03445741373,0.424167457425
147,designs/mips789/random_bug_9/fail_2_1pass,8904.95,0,1.0,1.0
148,designs/mips789/random_bug_9/fail_2_multipass_DATE,2407.08,1,6.88635577089,0.270308087075
149,designs/mips789/random_bug_9/fail_2_multipass_opt,2874.1,1,4.24213717533,0.322753075537
150,designs/mips789/random_bug_9/fail_2_multipass_v2,1424.24,1,9.08994927991,0.159938012005
151,designs/scam_core/buggy2/fail_4,55.24,1,0.771631375603,1.16270258893
152,designs/scam_core/buggy2/fail_4_1pass,47.51,1,1.0,1.0
153,designs/scam_core/buggy2/fail_4_multipass_opt,47.73,1,0.997304709845,1.00463060408
154,designs/scam_core/buggy2/fail_4_multipass_v2,47.32,1,1.00443022518,0.996000841928
155,designs/scam_core/buggy4/fail_0_multipass_opt,214.61,1,0.917876067914,1.01097606934
156,designs/scam_core/buggy4/fail_1_multipass_opt,265.56,1,0.982785039701,1.00564244329
157,designs/scam_core/buggy4/fail_2,1021.92,1,0.962913922317,3.17672293202
158,designs/scam_core/buggy4/fail_2_1pass,321.69,1,1.0,1.0
159,designs/scam_core/buggy4/fail_2_multipass_opt,1013.93,1,1.09274943446,3.15188535547
160,designs/scam_core/buggy4/fail_2_multipass_v2,1064.99,1,1.10237158101,3.31060959309
161,designs/scam_core/buggy4/fail_4_multipass_opt,158.34,1,1.04923918202,0.990801576873
162,designs/scam_core/buggy5/fail_0,999.18,1,0.98998113089,3.20558229066
163,designs/scam_core/buggy5/fail_0_1pass,311.7,1,1.0,1.0
164,designs/scam_core/buggy5/fail_0_multipass_opt,992.97,1,1.07633512431,3.18565928777
165,designs/scam_core/buggy5/fail_0_multipass_v2,984.16,1,1.07591848782,3.15739493102
166,designs/scam_core/buggy5/fail_1_multipass_opt,272.92,1,0.999561960452,1.00102699531
167,designs/scam_core/buggy5/fail_2,246.52,1,0.999266630453,0.999351386412
168,designs/scam_core/buggy5/fail_2_1pass,246.68,1,1.0,1.0
169,designs/scam_core/buggy5/fail_2_multipass_opt,245.94,1,1.00693255619,0.997000162154
170,designs/scam_core/buggy5/fail_2_multipass_v2,246.77,1,0.997686320325,1.00036484514
171,designs/scam_core/buggy7/fail_2,1432.75,1,0.409677493622,2.62788650245
172,designs/scam_core/buggy7/fail_2_1pass,545.21,1,1.0,1.0
173,designs/scam_core/buggy7/fail_2_multipass_opt,1371.36,1,0.528517759548,2.51528768731
174,designs/scam_core/buggy7/fail_2_multipass_v2,1082.99,1,0.69839398951,1.98637222355
175,designs/scam_core/buggy7/fail_3,1776.73,1,0.348821037844,2.78667775024
176,designs/scam_core/buggy7/fail_3_1pass,637.58,1,1.0,1.0
177,designs/scam_core/buggy7/fail_3_multipass_opt,1552.04,1,0.591827020231,2.43426707236
178,designs/scam_core/buggy7/fail_3_multipass_v2,1193.33,1,0.78958199269,1.87165532169
179,designs/scam_core/buggy7/fail_4,2060.82,1,0.37999199476,1.91200838722
180,designs/scam_core/buggy7/fail_4_1pass,1077.83,1,1.0,1.0
181,designs/scam_core/buggy7/fail_4_multipass_DATE,1345.0,1,0.91509689168,1.24787768015
182,designs/scam_core/buggy7/fail_4_multipass_opt,3451.86,1,0.606874525107,3.20260152343
183,designs/scam_core/buggy7/fail_4_multipass_v2,1445.04,1,0.887453845781,1.34069380143
184,designs/scam_core/random_bug_0/fail_0,1879.16,1,0.0807295668809,2.71802363423
185,designs/scam_core/random_bug_0/fail_0_1pass,691.37,1,1.0,1.0
186,designs/scam_core/random_bug_0/fail_0_multipass_opt,2270.89,1,0.144576689157,3.2846232842
187,designs/scam_core/random_bug_0/fail_0_multipass_v2,1305.9,1,0.29055171892,1.8888583537
188,designs/scam_core/random_bug_0/fail_1,2112.72,1,0.399348382412,1.5455496463
189,designs/scam_core/random_bug_0/fail_1_1pass,1366.97,1,1.0,1.0
190,designs/scam_core/random_bug_0/fail_1_multipass_DATE,1454.26,1,0.953899323161,1.06385655867
191,designs/scam_core/random_bug_0/fail_1_multipass_opt,2801.98,1,0.630939606092,2.04977431839
192,designs/scam_core/random_bug_0/fail_1_multipass_v2,1482.22,1,1.04816738527,1.08431055546
193,designs/scam_core/random_bug_0/fail_2,2249.48,1,0.145222964869,3.51201386395
194,designs/scam_core/random_bug_0/fail_2_1pass,640.51,1,1.0,1.0
195,designs/scam_core/random_bug_0/fail_2_multipass_opt,1811.41,1,0.267827882812,2.82807450313
196,designs/scam_core/random_bug_0/fail_2_multipass_v2,1523.25,1,0.358026857413,2.37818301041
197,designs/scam_core/random_bug_0/fail_3,1986.43,1,0.671614176339,2.30720001858
198,designs/scam_core/random_bug_0/fail_3_1pass,860.97,1,1.0,1.0
199,designs/scam_core/random_bug_0/fail_3_multipass_opt,2026.64,1,0.882409695583,2.35390315574
200,designs/scam_core/random_bug_0/fail_3_multipass_v2,1456.95,1,1.06374448799,1.69221924109
201,designs/scam_core/random_bug_10/fail_0,1409.25,1,0.72732399018,1.86898225511
202,designs/scam_core/random_bug_10/fail_0_1pass,754.02,1,1.0,1.0
203,designs/scam_core/random_bug_10/fail_0_multipass_opt,2520.11,1,0.860652220899,3.34223230153
204,designs/scam_core/random_bug_10/fail_0_multipass_v2,1885.28,1,0.86324749814,2.5003050317
205,designs/scam_core/random_bug_10/fail_1,1194.96,1,0.882776072542,2.78467561521
206,designs/scam_core/random_bug_10/fail_1_1pass,429.12,1,1.0,1.0
207,designs/scam_core/random_bug_10/fail_1_multipass_opt,1004.67,1,1.24797382554,2.34123322147
208,designs/scam_core/random_bug_10/fail_1_multipass_v2,908.11,1,1.3564499631,2.11621457867
209,designs/scam_core/random_bug_11/fail_0,3126.42,1,0.38525923005,1.99651327637
